"","Country","Happiness","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","PositiveAffect","NegativeAffect","ConfidenceInGovernment","Region"
"46","Germany",7.07432460784912,10.7194995880127,0.892166078090668,71.9000015258789,0.840727865695953,0.141375407576561,0.414021193981171,0.736565709114075,0.196434810757637,0.622935652732849,"Western Europe"
"47","Ghana",5.48131084442139,8.34939670562744,0.66911107301712,56.7999992370605,0.783046364784241,0.082861453294754,0.838609993457794,0.702511727809906,0.247518941760063,0.670288562774658,"Sub-Saharan Africa"
"48","Greece",5.14824151992798,10.1094598770142,0.752899527549744,72.1999969482422,0.438300013542175,-0.29122731089592,0.872239470481873,0.602939009666443,0.332830756902695,0.139880895614624,"Western Europe"
"49","Guatemala",6.32511854171753,8.91244697570801,0.826492071151733,64.5,0.91452169418335,-0.0599324032664299,0.799747884273529,0.845865786075592,0.308086156845093,0.458623856306076,"Latin America and Caribbean"
"50","Guinea",4.87372255325317,7.60036516189575,0.634025573730469,53.2999992370605,0.738212823867798,0.046024639159441,0.750026226043701,0.70447713136673,0.42246088385582,0.639980792999268,"Sub-Saharan Africa"
"51","Haiti",3.82386565208435,7.41045141220093,0.646984994411469,55.5,0.484429150819778,0.380740523338318,0.64719158411026,0.573366701602936,0.321692764759064,0.435076951980591,"Latin America and Caribbean"
"52","Honduras",6.01998567581177,8.42107772827148,0.843354940414429,67,0.898377418518066,0.0786035656929016,0.783429443836212,0.842200934886932,0.248383343219757,0.495585024356842,"Latin America and Caribbean"
"53","Hong Kong",5.36247491836548,10.9340867996216,0.831066310405731,75.9073181152344,0.830657243728638,0.128979280591011,0.415810197591782,0.639533460140228,0.200593411922455,0.545040726661682,"Eastern Asia"
"54","Hungary",6.06503868103027,10.1953191757202,0.87674754858017,67.1999969482422,0.661165952682495,-0.145813331007957,0.886361300945282,0.735184252262115,0.180921271443367,0.377770513296127,"Central and Eastern Europe"
"55","Iceland",7.47621393203735,10.7468414306641,0.966752827167511,73,0.938783288002014,0.243323683738708,0.726845383644104,0.895254552364349,0.148160010576248,0.365041941404343,"Western Europe"
"56","India",4.04611110687256,8.76821231842041,0.606767475605011,59.7000007629395,0.885850429534912,-0.0536204949021339,0.78080278635025,0.682090997695923,0.317936778068542,0.839278399944305,"Southern Asia"
"57","Indonesia",5.09840154647827,9.32266330718994,0.795589208602905,61.9000015258789,0.865026295185089,0.475460678339005,0.900416433811188,0.862584173679352,0.319171577692032,0.825765371322632,"Southeastern Asia"
"58","Iran",4.71678304672241,9.85653305053711,0.714232921600342,65.6999969482422,0.730635166168213,0.186621651053429,0.714941322803497,0.693666040897369,0.438533902168274,NA,"Middle East and Northern Africa"
"59","Iraq",4.46239900588989,9.65911960601807,0.695109367370605,59.5999984741211,0.627722024917603,-0.0377148538827896,0.757108807563782,0.505288541316986,0.590538740158081,0.424050778150558,"Middle East and Northern Africa"
"60","Ireland",7.06015539169312,11.1174402236938,0.943481981754303,72.1999969482422,0.905341148376465,0.210759684443474,0.337084740400314,0.833388924598694,0.212784126400948,0.603799641132355,"Western Europe"
"61","Israel",7.33103609085083,10.4082641601562,0.916440844535828,73.0999984741211,0.768076300621033,0.142772495746613,0.792652249336243,0.673591315746307,0.276443153619766,0.389368146657944,"Middle East and Northern Africa"
"62","Italy",6.19887018203735,10.4693717956543,0.919791221618652,73.4000015258789,0.632843255996704,-0.0371780842542648,0.866667926311493,0.661180734634399,0.32284614443779,0.230196297168732,"Western Europe"
"63","Ivory Coast",5.03773498535156,8.18896865844727,0.661375343799591,48.9000015258789,0.732097923755646,-0.096848264336586,0.770940244197845,0.697735488414764,0.357455790042877,0.516654312610626,"Sub-Saharan Africa"
"64","Jamaica",5.8897590637207,9.01110458374023,0.913029849529266,67.0999984741211,0.860676348209381,-0.128097996115685,0.882796168327332,0.769282162189484,0.243399634957314,0.348201751708984,"Latin America and Caribbean"
"65","Japan",5.9106764793396,10.5713739395142,0.881961286067963,74.9000015258789,0.849396586418152,-0.217277035117149,0.659198641777039,0.740387618541718,0.175512179732323,0.412489950656891,"Eastern Asia"
"66","Jordan",4.80808258056641,9.0285177230835,0.814664542675018,66.5999984741211,0.766262471675873,-0.150125920772552,NA,0.62779837846756,0.391505181789398,NA,"Middle East and Northern Africa"
"67","Kazakhstan",5.88235139846802,10.0881223678589,0.914093196392059,64,0.745243966579437,-0.0456177592277527,0.755250692367554,0.756762206554413,0.171486407518387,0.755705773830414,"Central and Eastern Europe"
